Title,Writer,Publisher,Run,Read,Random Comic,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Doom Patrol,"Way, Gerard",DC,12.0,False,,,,,,,,,,,Doom Patrol
Doom Patrol,"Morrison, Grant",Vertigo,44.0,False,,,,,,,,,,,Doom Patrol
Doomsday Clock,"Johns, Geoff",DC,12.0,False,,,,,,,,,,,Doomsday Clock
Dorohedoro,"Hayashida, Q",Manga,23.0,False,,,,,,,,,,,Dorohedoro
Dr. Stone,"Inagakiri, Riichiro",Manga,10.0,False,,,,,,,,,,,Dr. Stone
Dragonball,"Toriyama, Akira",Manga,42.0,False,,,,,,,,,,,Dragonball
"Dregs, The","Nadler, Lonnie",Black Mask,4.0,False,,,,,,,,,,,The Dregs
Duck and Cover Collected ,,,,,,,,,,,,,,,Duck and Cover Collected 
Duncan the Wonder Dog,"Hines, Adam",AdHouse Books,16.0,False,,,,,,,,,,,Duncan the Wonder Dog
Dungeons and Dragons,"Rogers, John",IDW,19.0,False,,,,,,,,,,,Dungeons and Dragons
Dungeons and Dragons,"Zub, Jim",IDW,20.0,False,,,,,,,,,,,Dungeons and Dragons
Earth X,"Ross, Alex",Marvel,15.0,False,,,,,,,,,,,Earth X
Eightball,"Clowes, Daniel",Fantagraphics,18.0,False,,,,,,,,,,,Eightball
Elektra: Assassin,"Miller, Frank",Marvel,8.0,False,,,,,,,,,,,Elektra: Assassin
Elephantmen,"Starkings, Richard",Image,88.0,False,,,,,,,,,,,Elephantmen
Empire,"Waid, Mark",Image,13.0,False,,,,,,,,,,,Empire
Enigma,"Milligan, Peter",Vertigo,8.0,False,,,,,,,,,,,Enigma
"Essential Calvin and Hobbes, The",,,,,,,,,,,,,,,The Essential Calvin and Hobbes
Essex County,"Lemire, Jeff",Topshelf,19.0,False,,,,,,,,,,,Essex County
Eternals,"Kirby, Jack",Marvel,20.0,False,,,,,,,,,,,Eternals
Eternals,"Gaiman, Neil",Marvel,7.0,False,,,,,,,,,,,Eternals
Eternity Girl,"Visaggio, Magdalene",DC,6.0,False,,,,,,,,,,,Eternity Girl
Ether,"Kindt, Matt",Dark Horse,10.0,False,,,,,,,,,,,Ether
EVE: Valkyrie,"Wood, Brian",Dark Horse,4.0,False,,,,,,,,,,,EVE: Valkyrie
Ex Machina,"Vaughan, Brian K.",Wildstorm,54.0,False,,,,,,,,,,,Ex Machina
Excalibur,"Davis, Alan",Marvel,67.0,False,,,,,,,,,,,Excalibur
